text,label
"Paris hit by 2 mn - euro jewelry heist Four men rammed their car into an upmarket jewelry store in central Paris on Monday , smashing the shop window and making off with a two - million - euro ( $2 . 6 - million ) booty , a police source said .",1
"The rootball was in a crate the size of a refrigerator , and some of the arms were over 12 feet tall .",0
John Jenkin also faces an animal cruelty charge after the family's dog was also found beaten to death .,1
"Revenue totaled $ 1.01 billion, a 43 % increase from $ 704.4 million, reflecting the company's acquisition of Emery earlier this year.",1
"Police intervened when more than a hundred people joined in a candlelit vigil in the East Flatbush neighborhood in Brooklyn , New York , where 16 - year - old Kimani Gray was shot 11 times by police on Saturday , according to RussiaToday Brooklynites on Twitter reported that police followed the march and searched apartment buildings in the neighborhood without warrants , looking for children who had been seen throwing bottles at police from neighborhood rooftops .",1
"In such situations, therefore, each party should be interested in dissuading the other from making such a response.",0
No participant was informed about the identity and individual contribution decisions of his group members.,0
The Hawke ' s Bay Herald building was completely destroyed by the fire after the earthquake .,1
An explosive charge was discovered inside a bag at the entrance to the Shalom theater in Moscow .,0
"The shooting occurred about 3 : 10 p . m . in the 12200 block of 223rd Street in Hawaiian Gardens , a working - class city at the northeastern border of Long Beach that has long been plagued by gang violence .",1
"Another celebrity has bailed out of the Costa Rican jungle set of ""I ' m a Celebrity . . . Get Me Out of Here !",0
"Paris Store Hit by $2 . 6 Million Jewelry Heist Four men rammed their car into an upmarket jewelry store in central Paris on Monday , smashing the shop window and stealing $2 . 6 million ( two million Euros ) in jewelry , according to AFP .",1
"The purpose of the present study was to examine the predictive capabilities of sportspersonship, moral competence, and emotional intelligence on cooperation in varying competitive conditions.",0
"At one point, when it became clear controllers could not contact the plane, someone said a prayer.",0
"We consciously chose this minimalistic way of asking for a reaction, since any more explicit request or even the use of the word ""justification"" we considered to be too leading15 .",0
"For all the pain caused by the great recession , the job market still was not in as bad shape as it had been during the depths of the early 1980s recession , until now .",1
"In the year-ago period, Bethlehem earned $ 101.4 million, or $ 1.27 a share, including a $ 3.8 million gain from early retirement of debt.",0
"AOL would never have existed if it had been founded here, I am sure, since its employees would have been mocked into obscurity by the digerati.",1
The young student is part of the environmental association IndyACT .,0
"The larger this bias, the stronger the effect of ignorance on norm compliance.",1
The painter uses a perch and a roller to apply the painting to the roof of a building .,0
Circulation depends on the use of ventilators and injections of hormones.,1
"So the issue of size, I think, is also relevant, and so I think the two keys to Mr. Volcker's suggestion, that of segregation of function within the industry and particularly the protection of the large deposit-taking institutions and the idea of being concerned about size, have merit and deserve the consideration of this Committee.",1
"Bush, however, says he sees no short-term hope for a diplomatic solution to the gulf crisis _ at least until economic sanctions force Saddam to withdraw his army.",1
"To protect against systemic risk, we must ensure that when a firm fails, it does not bring down the entire financial system with it, i.e., an orderly liquidation.",1
"Language is reduced to simple phrases or even single words , eventually leading to complete loss of speech .",1
The pandemic H1N1 flu virus was confirmed in a flock of breeder turkeys in Virginia .,0
"Nicholas planned a railway from Russian Georgia to the conquered territories , so that fresh supplies could be brought up for a new offensive in 1917 .",1
Threat was introduced by providing one or both subjects with a salient punitive capability in the form of a gate which could be closed by one subject to prevent access to the one-lane road.,1
"The compromises contained in the agreement caused the civil war in the 26 counties in June 1922-April 1923 , in which the pro-Treaty Provisional Government defeated the anti-Treaty Republican forces .",1
A first revolution was triggered by the growing use of reading and writing .,1
This paper discusses an on-line signature verification method based on angular direction of pen point movement (ADPM) .,0
"Afterwards, participants were asked to indicate, privately, their individual solution to the task (item 2, Fig. 5a).",0
The original engine powered a limited-production Mustang model sold for two years .,0
The surprise visit caused a frenzy on the already chaotic trading floor .,1
"When the princess left her native land and traveled west to her bridegroom , she carried , smuggled in her headdress , silkworm cocoons and the seeds of the mulberry tree on which they feed .",0
I also have a full unit of blighted swordsmen and the blessing of vengeance on my to seal shelf .,0
"In economic terms , pollution from fossil fuels is regarded as a negative externality and should be taxed .",1
"Moreover, the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them.",1
Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities .,1
"At the time , the crisis continued unabated , and on the evening of October 24 , the Soviet news agency TASS broadcast a telegram from Khrushchev to President Kennedy , in which Khrushchev warned that the United States ' `` outright piracy '' would lead to war .",1
"BellSouth's revised proposal surprised many industry analysts, especially because of the company's willingness to accept some dilution of future earnings.",1
And we are also trying to do a better job of our consolidated supervision whereby we focus not just on the holding company but we make sure that we interact more intensively with the functional regulators of the subsidiaries or the affiliates.,1
"From the pool of 105 one-shot PDG players, we selected 64 players whose pictures were without photographic deficiencies; faces that were not entirely framed or faces that were partly covered by hair, garments, eyeglasses, or hands were excluded.",0
"About 30 ducks were found dead in Klamath County in the past two days , and officials are investigating whether the deaths are from a cholera outbreak .",1
"Although results are pending for the blood - alcohol test that Williams took , he has been booked and later released on bail .",1
The signoff queue is used for reports that the user has not seen before .,0
"Thus, we explore a non-parametric distribution-free estimation approach known as the Turnbull estimator, which has been applied in a number of recent CV studies (Carson et al., 1996;Habb and fcfonnell, 1997;Whitehead et al., 1998).",0
The spiciness comes from small capsaicin glands located between the pepper ' s outside skin and the white ribs inside .,1
"These centres , along with appropriate educational and psychosocial interventions , helped children overcome the trauma and stress caused by the earthquake .",1
"At this time exactly what makes up the preclinical phase of Alzheimer 's is still being researched , such as why some people with go on to develop Alzheimer 's and others do not .",0
They might be willing to take a certain amount of risk by delaying an immediate benefit for a greater future prospect given what they make of the likelihood of success in a set of prevalent conditions.,0
"The game master read the instructions twice and I then demonstrated the play with a set of ten, ten shilling coins.",0
"How distracting was the memorization task (1 very distracting, 7 not very distracting)?",0
Head injuries are a common cause of unconsciousness and they occur in many sports like rugby and boxing .,1
"Even though the level of regulation a facility faces does not depend on the overall size of a facility, the two factors are highly correlated.",0
"At the end of the round, subjects were informed of each other's choices and received a payoff corresponding to the action pair.",0
The bank issued a statement at around 2am in the UK confirming that it would buy Lehman ' s North American investment banking and capital markets business .,0
"Northumberland made plans to place Lady Jane Grey on the throne and marry her to his son , so that he could remain the power behind the throne .",1
The following two subsections are devoted to explaining the virtuous cycle that reinforces the high contributions that arise throughout the ECP experimental sessions.,0
Ancient pagan traditions used famine following feast as a way of revealing truth .,0
"He survived the round , but by the end of the sixth frame , appeared mentally beaten and looking for a way out .",1
The contents of the satchel were a revelation .,0
The first order of business when a patient complains of palpitations is to check whether the palpitations are caused by a heart rhythm .,1
The encroaching darkness has been caused by the twin horrors of war and a mysterious plague .,1
"However , the Soviets changed their minds , fearing possible future Cuban militant steps , and on November 22 , 1962 , the Soviet Deputy Prime Minister Anastas Mikoyan told Castro that those rockets with the nuclear warheads were being removed too .",1
"Although the government said the economy grew an estimated 2.5 % in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.",1
"The tremor also damaged hospitals on the island , including one which was reported to have stopped providing medical service .",1
"Compaq Computer nose-dived $ 8.625 a share, to $ 100, and pulled other technology issues lower after reporting lower-than-expected earnings after the stock market closed Wednesday.",0
"And to protect the taxpayer, we have to make sure that the cost of that failure is borne by the firm's shareholders and creditors, and not passed on to the taxpaying public.",1
A jury on Tuesday convicted a man charged in an April 2007 shooting at a Troy accounting firm that left a receptionist dead and two managing partners wounded .,1
"However , the Red Cross Society of China said that ( on May 13 ) `` it was inconvenient currently due to the traffic problem to the hardest hit areas closest to the epicenter . ''",1
"A facilitator keeps the discussion focused and limited to the allotted time , while the recorder keeps a written record of the panel ' s recommendations .",0
That ' s because nostalgia serves a useful defensive and reparative function; it took the sting from a painful episode in his life by shading the script .,0
"If it is true that antisocial punishment is based on the intuitive system and especially likely executed by individuals with a proneness to sadistic tendencies, then the inhibition of the intuitive system should reduce antisocial punishment in individuals with a proneness to sadistic tendencies.",1
"In that case , the doctor stops the bleeding with hormones .",0
"Numerous broadband users complained about international connectivity problems this morning , caused by problems on the SEACOM cable . SEACOM confirmed the problems on their Twitter account .",1
"Even though his 16-month old suffered from severe burns on her body caused by boiling water spilled on her , father refuses to allow ambulance to take his daughter to Hadassah because ' rabbi advised otherwise ' .",1
"As a result of the magnitude 7.9 earthquake and the many strong aftershocks , many rivers became blocked by large landslides , which resulted in the formation of `` quake lakes '' behind the blockages ; these massive amounts of water were pooling up at a very high rate behind the natural landslide dams and it was feared that the blockages would eventually crumble under the weight of the ever-increasing water mass , potentially endangering the lives of millions of people living downstream .",1
"Several assassination attempts were made on James , notably the Main Plot and Bye Plots of 1603 , and most famously , on 5 November 1605 , the Gunpowder Plot , by a group of Catholic conspirators , led by Sir Robert Catesby , which caused more antipathy in England towards the Catholic faith .",1
"San Diego Chargers defensive tackle Jamal Williams was arrested on suspicion of drunken driving , the team ’ s second such arrest in less than a month . Williams was pulled over for speeding early Sunday on a freeway outside downtown San Diego , the California Highway Patrol said .",0
The rescue teams found 17 of the 25 crew thrown into the sea when the tanker caught fire after the collision .,1
A factory for cars and spareparts was built in Russia .,0
"As problems become larger and more complex , features such as subprograms , modules , formal documentation , and new paradigms such as object-oriented programming are encountered .",0
"Three of the men flew to Miami on a private jet , and the fourth traveled to Honduras on a false U . S . passport .",0
"Because premature babies depend on technology, survival rates vary based on access to that technology .",1
"SEACOM has previously issued a statement on the current problem with the cable : ""Initial estimates indicate that the total repair time will be around twelve days depending on weather conditions .",1
"Secretary of State James Baker said on ABC - TV's "" This Week With David Brinkley "" that the series of United Nations resolutions condemning Iraq's invasion of Kuwait "" imply that the restoration of peace and stability in the Gulf would be a heck of a lot easier if he and that leadership were not in power in Iraq. """,1
"Both U.S. and British officials filed objections to the court's jurisdiction in 1995, claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men.",1
"The resulting increase in group distinctiveness can be expected to affect group perceptions (Spears et al., 1985;Acorn et al., 1988;fcfonnell et al., 1994) and ingroup favoritism should generally increase with salience of the ingroup (see the meta-analysis by Mullen et al., 1992).",1
This lowly structure is preserved and protected from decay by having built over it an outer structure surmounted by a great dome of glass .,0
Result 3. The threat of inter-period feuds in LF reduces the frequency of altruistic punishment relative to the Baseline treatment.,1
"Matanuska Maid Building Burns Down Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer .",1
It took the great Ronald Reagan years to develop his vast coterie of left wing haters .,0
"The Philippine Atmospheric , Geophysical and Astronomical Services Administration ( PAGASA ) announced that the names `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' were retired from PAGASA 's list of local names after they each caused over 1 billion PHP in damages to the Philippines during 2011 . PAGASA selected the names `` Betty '' , `` Jenny '' , `` Marilyn '' , `` Perla '' , and `` Sarah '' to replace `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' , and `` Sendong '' respectively The name `` Sendong '' was also retired from the list after it caused over 300 deaths , when it made landfall on the Philippines during December 2011 .",1
"The main positive for Castro to invite the Pope is international, to be able to say to the rest of the world, this government is not as closed, as intolerant, uh as totalitarian as some make it out to be. One of the scenarios widely advanced before the visit is that through the Pope, Cuba, still led by Castro, can begin a more productive relationship with the world.",0
"The Chairman:  Well, the rule is that no member can ask questions after their 5 minutes is up, but if there is a question pending, we will take it.",1
"Within minutes after the committee released its letter publicly, Torricelli took the Senate floor Tuesday night to apologize to the people of New Jersey for allowing his seat in the chamber ""to be placed in this position.""",1
On Monday a group of about 130 people were marching toward the 67th Police Precinct station when about two dozen young protesters splintered off — drawing riot police — and trashed a Rite Aid .,1
The hailstorm of atoms triggers nano-avalanches on the slopes .,0
"Certainly Saddam Hussein continues to implore his country to fight on. "" Fight them, "" he urged Iraqis in a radio address.",0
"Robert Pitman , aged 24 and from Wellington , was charged with arson following the fire at the Waitrose supermarket in the Somerset town at the weekend .",1
The painting was one of the first used as a poster in an advertising campaign for soap powder .,0
The projection sent Anheuser shares plunging $ 4.375 in New York Stock Exchange composite trading yesterday. The stock closed at $ 38.50 on heavy volume of about 3.5 million shares.,0
"Avocado butter is a very rich , moisturizing treatment for the hair and skin , and it has some natural sunscreen properties .",0
Another fried chicken restaurant chain also became the subject of a conspiracy theory .,0
"Noting that the company is offering to buy back $ 154.2 million in senior notes paying 12 3/4 %, he said the response will help determine future debt-reduction efforts.",1
"A fire - bomb attack on a bank in Greece killed at least three people Wednesday as police fought pitched battles with striking protestors furious at brutal budget cuts designed to avert national bankruptcy . Hooded youths hurled petrol bombs at stores and businesses in the center of the capital Athens and demonstrators tried to storm parliament during the general strike , as the rioting spread to the northern city of Thessaloniki .",1
"The Wars of the Roses ended with the victory of Henry Tudor , who became king Henry VII of England , at the Battle of Bosworth Field in 1485 , where the Yorkist king , Richard III was killed .",1
The aim of this section is a brief review of the clinical aspects of ITP in pregnancy .,0
The irritation from the chemicals in the tobacco is considered to be the number one contributing factor .,1
"As part of the agreement, Cilcorp said it will pay Hunter $ 4 million in exchange for agreements not to compete.",1
"During January 2011 , the Philippine Atmospheric , Geophysical and Astronomical Services Administration predicted that between twenty and twenty-three tropical cyclones were likely to develop and/or enter the Philippine area of responsibility during 2011 .",0
My two friends have moved into my apartment last weekend .,0
The unpredictability of Iraq's leader is a principal reason the U.S. is going to such great lengths to build a mammoth force in and around Saudi Arabia.,1
Zinc is essential for growth and cell division .,1
The kiosk was placed at a statewide convention of science teachers and in a high school science classroom .,0
"In the first nine months, profit rose 10 % to $ 313.2 million, or $ 3.89 a share, from $ 283.9 million, or $ 3.53 a share. Sales rose 6.7 % to $ 4.27 billion from $ 4 billion.",0
"A trigger strategy, s*, can be characterized as a strategy of cooperation that is followed if the following three conditions are met: First, at time t, it must be the case that",0
A 300-pound Siberian tiger that killed a visitor escaped from its high-walled pen on its own .,0
A penal code is a portion of a state ' s laws defining crimes and specifying the punishment .,0
"Mr. Chairman, I would like to ask for unanimous consent to submit for the record Secretary Paulson's speech in London on July 2nd on market discipline.",1
It thereby seeks to define the social norm determining the amount to contribute (see e.g.,0
The woman who allegedly shot and killed two co - workers in September at the Kraft Foods plant in Northeast Philadelphia will face trial on multiple counts of murder and attempted murder .,1
"No material was prepared for the sessions , so the three musicians improvised an album ' s worth of material .",0
A multi-purpose electrician pliers tool is crucial for severing any gauge wire with which the electrician is working .,0
"James E. Ousley, computer products group president, said such arrangements could help slash Control Data's computer research and development costs in half by the end of 1990. He disclosed that before Control Data scrapped its ETA Systems Inc. supercomputer business this past spring, those costs were running at nearly 35 % of group revenue.",0
Figure 2 reports the repeated-game data in a similar way.,0
Outcome Matrix Applied to Each Round of the N-person Prisoner's Dilemma Game,0
Forecasters say the picture will get worse because more rains are on the way.,1
"For example, I mentioned also the private-public cooperation that we are now having to strengthen the OTC derivatives infrastructure and the like.",1
"Choreographed fighting forms are used by students in order to develop an understanding of the offense , defense , distance , reaction , speed , and so forth .",0
I think that is why I welcomed doing a book--it gives one the ability to use so much of what is left on the cutting room floor of daily journalism.,1
He is the second Chargers ’ player within the last month to be arrested for DUI . Williams was initially pulled over for speeding on a freeway outside downtown .,0
"Without a Federal repository to collect and analyze information on insurance issues, we cannot fully understand and control systemic risk.",1
Convulsions that occur after DTaP are caused by a fever .,1
In July he was sent north to quell a rebellion instigated by the discontented people of Warwick .,1
"The tender offer will be followed by the sale of all of Erbamont's assets, subject to all of its liabilities, to Montedison.",0
"Acting for sacred values, collectively, provides a record of cooperative action and thus offers evidence of cooperative responses downstream.",1
"Mr. Junius said Nashua's "" intention is to remain an independent public company. "" The company said it amended its shareholder rights plan by reducing to 10 % from 20 % the level of ownership by an outsider that would trigger the issuance to other holders of rights to buy additional shares of Nashua common at half price.",0
"A police source reported that the men drove a large four - by - four car into the store in the early hours of the morning , grabbing jewelry and luxury watches before setting fire to the vehicle and escaping in another car .",1
The flag randomly popped out of an enemy ' s corpse .,0
"However , Kulap quickly accelerated north and exited the PAR on the same evening , prompting the PAGASA to issued their final advisory on the system .",1
When numerical cheap talk was combined with a punishment option there were many cheap talk threats of punishment and cheap talk responses with higher cheap talk contributions.,1
"Another shows a worker with a cigarette dangling from his mouth , a lunch box popping out from under a well-muscled arm .",0
"Coda Energy Inc. said it arranged a $ 50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C. The remaining $ 40 million can be used over three years for oil and gas acquisitions, the company said.",0
"He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston .",1
"Gaining from the public good provided by their group, subjects increased their initial budget of 200 Rs by 59%.",1
"When the merchant was ready to come home , he had bought a diamond necklace for his first daughter .",0
The generation of T cells in the thymus starts at a late stage during embryonic development .,0
"Seacom's business customers , including commercial Internet Service Providers , have had their services restored via alternative routes , Seacom announced today Subsea cable operator Seacom announced on Twitter today ( 14 October 2011 ) that they have restored all their business customers on alternate routes following an outage expected to extend into next week .",1
"Two years passed before I saw the ibex again , despite regular field trips to the area and the services of an NCWCD ranger who knew every bend in the maze of canyons .",0
"Other probabilities show that the predicted likelihood of pleading an aversion to needles (Y i = 2) is 0.087 higher for females than for males, 0.086 lower for divorced or widows than for singles and 0.051 lower for those who abstained in the 2004 election than for those who voted.",0
This sweet satisfaction was only troubled by the sorrow caused by the horrible attack on the person of a representative of the nation .,1
Pigs really fly . . . . with the help of a trampoline .,0
"As the winter is coming , the virus is rapidly spreading into young children and elderly people .",0
DPC Acquisition said it had received the reasonable assurance of Chase Manhattan Bank N.A. that the financing can be obtained.,0
"It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices, among other charges.",1
The combined operations are designed to isolate and strangle Iraq until it retreats from Kuwait.,0
Jurors on Monday asked to review a video recording of Orozco boasting about the shooting to other jail inmates two weeks after Ortiz's death .,1
"Today 75% of the county is intensively farmed for corn , soybeans , oats , and alfalfa with emphasis on dairy production .",0
"At the same time, the sheer size of the loss, coupled with a slowing of orders, made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern.",1
"The brown areas are caused by drought , brown patch , take-all-patch , chinch bugs or grubs .",1
"Alabama has since enacted legislation , allowing death by lethal injection as an alternative choice to death in the electric chair .",1
"The company noted that its Fox - Meyer Drug Co., Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves.",1
Subjects are divided into groups of size 5.,0
"The debris caused a crash on the Schuylkill , and it has been closed for hours because of the mishap .",1
Fire at Waitrose in Wellington A FIRE has badly damaged the Waitrose supermarket in Wellington's High Street .,1
"The team captured the provincial title with a convincing 6-1 victory over their adversaries , the Pas Huskies .",0
Arcade Joseph Comeaux Jr . is serving three life sentences . Comeaux is accused of using a gun which was smuggled in to him for the escape .,1
There is relatively little discomfort from this surgery and most individuals rarely take more than Tylenol for their discomfort .,1
Note that allowing frequent network updates does not necessarily mean that the network structure actually changes frequently but only that the opportunity for change often exists.,0
This notifies the commencement of the exclusion of hospitals from the definition .,0
SEACOM said that their Mediterranean backhaul service provider is experiencing a service affecting outage between Abu Talat and Marseilles . This is affecting all SEACOM traffic to Europe .,1
BREAKING NEWS - 3 DEAD due to Molotov cocktail at Bank,0
Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet .,1
It is thus necessary to control for individuals' attitudes toward risk. 3,0
"A 35 - year - old sheriff ’ s deputy working with an anti - gang unit was killed Friday when he knocked on the door of a home and someone shot him in the head , authorities said .",1
Some content from the encyclopedia became a part of Microsoft ' s Encarta digital encyclopedia .,0
Three people died when an Athens bank went up in flames Wednesday as tens of thousands of Greeks took to the streets to protest harsh spending cuts aimed at saving the country from bankruptcy .,1
"The earthquake knocked down power in rural areas , sinking them into darkness .",1
Payoff structure for the modified Iowa gambling card-selection task,0
"Freedman makes a thorough appraisal of the statistical methods in these papers , and in a variety of other examples .",0
Every municipality in Ontario is a member of the corporation .,0
A telescope assists the eye chiefly in two ways .,0
The drug was put inside a capsule for a reason .,0
There are everyday actions that can help prevent the spread of germs that cause respiratory illnesses like influenza .,1
We're certainly pleased with the fact that the investigation has identified Mr . Lopez and he's made statements and apparently made a full confession .,1
"Freeh also ordered the investigation consolidate information under the Atlanta task force, another indication officials suspect a link between all the bombings.",0
"They are enforced by the threat of sanctions or the promise of rewards (Kerr, 1995).",0
"It pits Dolph ' s Nikolai Cherenko - a stoic , wordless , physical threat - against a cabal of unsavoury Russian gangsters .",0
"Estrogen dominance is one of the main causes of osteoporosis , cancer , ovarian cysts , fibroids and a host of other female problems in the U . S .",1
"Market discipline is also critical to the health of our financial system, and must be reinforced, because regulation alone cannot eliminate all future bouts of market instability.",1
"With the knife at a 10- to 25-degree angle to the steel , he hold the steel rod steady and drew the knife blade down the steel .",0
"Before he was fatally shot , Los Angeles County Sheriff's Deputy Jerry Ortiz was looking for a man considered to be a ""career criminal"" and was hoping to arrest him on suspicion of attempted murder , officials said Saturday .",1
French police are investigating a daring jewellery robbery in Paris - the latest in a series of high - profile thefts in France this summer .,1
The box regulated the temperature using an odoff controller and T2 as temperature reference .,0
The Titan heats the dermis to cause collagen contraction while ensuring preservation the epidermis through continuous cooling .,1
"The small spring of the percussion hammer then forces the latter downward into the head of the striker , thus firing the mine .",0
"Even way back in the San Francisco earthquake , most of the damage was caused by fire after the earthquake .",1
"After some time , the acids caused a white spot on the tooth where they dissolved some of the enamel .",0
Texas escapee now on U . S . Marshal's most wanted list Arcade Joseph Comeaux Jr . is serving three life sentences .,1
Parameters were obtained from EEG epochs of 30s .,0
"Riots over harsh new austerity measures left three bank workers dead and engulfed the streets of Athens on Wednesday , as angry protesters tried to storm parliament , hurled Molotov cocktails at police and torched buildings . Tens of thousands of people took to the streets in a nationwide strike to protest new taxes and government spending cuts demanded by the International Monetary Fund and other European nations before heavily indebted Greece gets a euro110 billion ( $141 billion ) loan package to keep it from defaulting .",0
"To formalize our effective working relationship, the SEC and the Federal Reserve this week agreed to a memorandum of understanding.",1
"Privately, authorities say Rudolph has become a focus of their investigation. Publicly, they are unwilling to make any sweeping assertion.",0
We conducted a usability test on the enterprise-wide navigation system for this heathcare company ' s proposed intranet redesign .,0
"The recession caused by the stock bubble was relatively mild , but so was the recovery .",1
"An emerging category is ""podcasting"" , in which users generate content for widespread download on portable MP3 players .",0
"But in 2004 the rupture started at the southeast end of the segment and ran northwestward , the opposite direction from those that struck in ' 34 and ' 66 .",0
"A number of vendors , including Salesforce . com and RightNow , have released integration into social networks .",0
"The increase reflected the strength of the housing industry, which has been helped not just by declining interest rates but also by unusually warm weather.",1
The reconstitution of boards of governors takes place every 4 years and the current term of boards of governors is due to end on 30 June 2009 for controlled and maintained schools .,0
"Under the terms, Milton Roy will pay an initial $ 4 million for the operations and additional payments during the next four years based on the earnings performance of the businesses.",0
President Clinton welcomed the job figures at a news conference Friday.,0
"A jack-knifed lorry caused delays on the A27 eastbound between Havant , Hampshire , and Chichester , West Sussex .",1
"The eruptions are caused by tectonic forces or by the compaction of sediments at the deltas of large rivers , such as the Mississippi .",1
"According to the California Highway Patrol , defensive tackle Jamal Williams was arrested on suspicion of drunken driving last weekend on a freeway outside downtown . Williams , who was booked into county jail and later released on bail , did give a blood sample for a blood - alcohol test .",1
Submarine cable problem disrupts telecom services in Alexandria,1
The reports regarding the casualties has been announced and the loss that has been caused by the quake is being estimated .,1
"Overpopulation and poverty cause tension not only within communities and countries , but throughout the world .",1
"Martin Fabi, Innopac's president and chief executive, said Innopac viewed Mr. Pattison's decision to seek control as a "" very positive "" move. "" I 'm happy that he feels positively about our company, "" he said.",0
The upshot of these comments is that large churches as well as small churches must create a sense of belonging if they are to mitigate members' free riding tendencies and survive.,1
The rap star was apprehended at John Wayne Airport late last month and his truncheon was confiscated by police .,0
"Hudson's Bay said that Woodbridge Co., which currently holds about 77 % of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that aren't otherwise taken up. Hudson's Bay said it will redeem 9.5 million Series H preferred shares on Oct. 31 at a price of C $ 27.75 each.",0
We used this proportional measure of punishment rather than the raw amounts that participants spent for punishing each trader because the total amount that they spent for punishment varied among participants.,1
"When people perceive a relationship partner as highly agreeable, they feel more comfortable resolving conflicts (Jensen-Campbell et al., 2002) and are more inclined to solve conflicts through informal mechanisms (rather than including a third-party mediator; Morris, Leung, & Iyengar, 2004).",1
"She's in rehab right now . White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted .",0
"A fired accountant bought a shotgun the day after he lost his job , then returned to the office the following week and opened fire on his bosses , wounding both and killing a receptionist , the Associated Press reported .",1
"Kotter ' s most significant and controversial work , however , has been on the subject of leadership .",0
The book was in a trunk full of documents handed over to the archive .,0
The changes now seen in the endometrium are caused by a hormone called progesterone .,1
"Wilcoxonsigned ranks test revealed that participants contributed significantly more in the bonus rounds (Mdn ¼ 7) than in the standard rounds (Mdn ¼ 6), z ¼ 21.66, p ¼ 0.048, one-tailed.",0
Olympic chiefs are worried about the environmental damage caused by the Olympic flame .,1
Illinois race for lieutenant governor attracts a crowd of candidates .,0
The frenetic jostling for elbow room among the ratpack of photographers is more usually the case .,0
"Thanks to Starke's vision, leadership and fund-raising, they can do it all free.",1
"The payoff of the lottery ticket depended on the result of a toss of a fair coin with ""heads"" resulting in a payoff of two dollars and ""tails"" resulting in no payoff.",1
Crews from Devon and Somerset Fire and Rescue have tackled a blaze at a supermarket in a Somerset town .,1
"Although our regulatory architecture and authorities are outdated and less than optimal, we have been working together; while respecting our different authorities or responsibilities, we have been working together to ensure the stability of the financial system, because it is in the interest of the American people that we do so.",1
All the birds have flown into the subway for the snowstorm .,0
